category,ranking,name,price,isprime,stock,delivery,ASIN
Amazonデバイス・アクセサリ,#37,Echo Show 8 (エコーショー8) HDスマートディスプレイ with Alexa、チャコール,"￥14,980",0,1,-,-
Amazonデバイス・アクセサリ,#38,Kindle Oasis 色調調節ライト搭載 wifi 32GB 電子書籍リーダー,"￥34,980",0,1,-,-
Amazonデバイス・アクセサリ,#39,Amazon 5W USB 充電器,"￥1,980",0,1,-,-
Amazonデバイス・アクセサリ,#40,【Fire HD 10 2019年発売 第9世代用】 延長保証・事故保証プラン (2年・落下・水濡れ等の保…,"￥2,980",0,1,-,-
Amazonデバイス・アクセサリ,#41,Echo Auto - スマホとの組み合わせで車の中でもAlexaを,"￥4,980",0,1,-,-
Amazonデバイス・アクセサリ,#42,Fire HD 10 タブレット ブラック (10インチHDディスプレイ) 32GB,"￥22,960",0,1,-,-
Amazonデバイス・アクセサリ,#43,Fire HD 8 Plus タブレット 32GB 【ワイヤレス充電スタンド付き】,"￥14,980",0,1,-,-
Amazonデバイス・アクセサリ,#44,【新型】Echo Show 10 (エコーショー10) 第3世代 - モーション機能付きスマートディスプレイ…,"￥29,980",0,1,-,-
Amazonデバイス・アクセサリ,#45,Fire TV Stick 4K用 延長保証プラン (3年),"￥1,880",0,1,-,-
Amazonデバイス・アクセサリ,#46,Fire HD 10 タブレット ブルー (10インチHDディスプレイ) 64GB,"￥19,980",0,1,-,-
Amazonデバイス・アクセサリ,#47,【Echo Show 5 用】 Amazon純正 角度調節スタンド ブラック,"￥1,980",0,1,-,-
Amazonデバイス・アクセサリ,#48,Echo Show 8 (エコーショー8) HDスマートディスプレイ with Alexa、サンドストーン,"￥14,980",0,1,-,-
Amazonデバイス・アクセサリ,#49,【 Kindle Oasis (第9世代、第10世代)用】Digio2 液晶保護フィルム フッ素コーティング 反射防止…,"￥1,480",0,1,-,-
Amazonデバイス・アクセサリ,#50,【Echo Show 5 用】 Digio2 液晶保護フィルム 高精細 反射防止 気泡レス加工 2枚入り,"￥1,280",0,1,-,-
Amazonデバイス・アクセサリ,#51,Fire HD 8 タブレット ブルー (8インチHDディスプレイ) 32GB,"￥9,980",0,1,-,-
Amazonデバイス・アクセサリ,#52,"【Fire 7(第7世代, 第9世代)専用保護フィルム】 Digio2 液晶保護フィルム 高精細 反射防止 気泡…","￥1,350",0,1,-,-
Amazonデバイス・アクセサリ,#53,Echo Dot (エコードット)第3世代 - スマートスピーカー with Alexa、ヘザーグレー,"￥4,980",0,1,-,-
Amazonデバイス・アクセサリ,#54,Kindle フロントライト搭載 Wi-Fi 8GB ブラック 広告つき 電子書籍リーダー,"￥8,980",0,1,-,-
Amazonデバイス・アクセサリ,#55,【セット買い】Echo Dot (第4世代) 時計付き トワイライトブルー + スイッチボット Hub Mini ス…,"￥8,480",0,1,-,-
Amazonデバイス・アクセサリ,#56,Kindle Paperwhite 防水機能搭載 wifi 8GB ブラック 電子書籍リーダー + Kindle Unlimited（3ヵ…,"￥15,980",0,1,-,-
Amazonデバイス・アクセサリ,#57,【Echo Show 8 用】 Amazon純正 角度調節スタンド ホワイト,"￥2,490",0,1,-,-
Amazonデバイス・アクセサリ,#58,Fire TV Stick (第2世代) 用 延長保証プラン (2年),-,0,0,-,-
Amazonデバイス・アクセサリ,#59,Echo (エコー) 第4世代 - スマートスピーカーwith Alexa - プレミアムサウンド&スマートホームハ…,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#60,【2020年発売 Fire TV Stick 第3世代用 】 延長保証プラン (3年),"￥1,390",0,1,-,-
Amazonデバイス・アクセサリ,#61,Amazon Kindle 1.5m マイクロUSBケーブル、黒,"￥1,010",0,1,-,-
Amazonデバイス・アクセサリ,#62,"【Fire HD 8, Fire HD 8 Plus用】 Amazon純正 カバー (2020年発売 第10世代) トワイライトブルー","￥3,480",0,1,,-
Amazonデバイス・アクセサリ,#63,Kindle Paperwhite 防水機能搭載 wifi+4G 32GB ブラック 電子書籍リーダー,"￥22,980",0,1,-,-
Amazonデバイス・アクセサリ,#64,Fire HD 8 キッズモデル パープル 32GB + ドラえもんバッグ,"￥17,360",0,1,-,-
Amazonデバイス・アクセサリ,#65,Kindle (第10世代)用 Digio2 液晶保護フィルム フッ素コーティング 反射防止 抗菌 気泡レス加工 2…,"￥1,280",0,1,-,-
Amazonデバイス・アクセサリ,#66,Fire HD 8 Plus タブレット 64GB 【ワイヤレス充電スタンド付き】,"￥16,980",0,1,-,-
Amazonデバイス・アクセサリ,#67,Fire HD 8 Plus タブレット スレート (8インチHDディスプレイ) 64GB,"￥13,980",0,1,-,-
Amazonデバイス・アクセサリ,#68,Kindle Paperwhite 防水機能搭載 wifi 32GB ブラック 電子書籍リーダー + Kindle Unlimited（3…,"￥17,980",0,1,-,-
Amazonデバイス・アクセサリ,#69,Kindle Paperwhite 防水機能搭載 wifi 32GB ブラック 広告つき 電子書籍リーダー,"￥15,980",0,1,-,-
Amazonデバイス・アクセサリ,#70,Fire 7 タブレット (7インチディスプレイ) 32GB,"￥7,980",0,1,-,-
Amazonデバイス・アクセサリ,#71,Fire TV Cube - 4K・HDR対応、Alexa対応音声認識リモコン付属 | ストリーミングメディアプレー…,"￥14,980",0,1,-,-
Amazonデバイス・アクセサリ,#72,【Echo Show 8 用】 Amazon純正 角度調節スタンド ブラック,"￥2,490",0,1,-,-
Amazonデバイス・アクセサリ,#73,【Echo Show 8 用】 Digio2 液晶保護フィルム 高精細 反射防止 2枚入り,"￥1,480",0,1,-,-
Amazonデバイス・アクセサリ,#74,【Fire7 2019年発売 第9世代用】 Amazon純正 カバー (チャコールブラック),"￥2,690",0,1,,-
Amazonデバイス・アクセサリ,#75,【セット買い】Echo Dot (第4世代) 時計付き グレーシャーホワイト + スイッチボット Hub Mini…,"￥8,480",0,1,-,-
Amazonデバイス・アクセサリ,#76,【2020年発売 Echo Dot (第4世代) with clock】 延長保証・事故保証プラン (2年・落下・水濡れ…,"￥1,080",0,1,-,-
Amazonデバイス・アクセサリ,#77,Fire HD 8 タブレット ホワイト (8インチHDディスプレイ) 64GB,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#78,Fire HD 10 タブレット ホワイト (10インチHDディスプレイ) 32GB,"￥22,960",0,1,-,-
Amazonデバイス・アクセサリ,#79,【セット買い】Echo Dot 第3世代 チャコール + スイッチボット スマートホーム 学習リモコン Hub…,"￥6,460",0,1,-,-
Amazonデバイス・アクセサリ,#80,Echo Dot (エコードット) 第4世代 - スマートスピーカー with Alexa、トワイライトブルー,"￥5,980",0,1,-,-
Amazonデバイス・アクセサリ,#81,Amazon Kindle Paperwhite (第10世代) 用 ファブリックカバー カナリアイエロー,"￥3,680",0,1,,-
Amazonデバイス・アクセサリ,#82,Amazon Kindle Paperwhite (第10世代) 用 ファブリックカバー マリンブルー,"￥3,680",0,1,,-
Amazonデバイス・アクセサリ,#83,Fire HD 8 タブレット ブルー (8インチHDディスプレイ) 64GB,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#84,Echo Studio (エコースタジオ)Hi-Fiスマートスピーカーwith 3Dオーディオ&Alexa,"￥24,980",0,1,-,-
Amazonデバイス・アクセサリ,#85,Kindle Paperwhite 防水機能搭載 wifi 8GB トワイライトブルー 広告つき 電子書籍リーダー,"￥13,980",0,1,-,-
Amazonデバイス・アクセサリ,#86,Fire HD 8 タブレット ブラック (8インチHDディスプレイ) 64GB,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#87,【セット買い】Echo Show 8 サンドストーン + Amazon スマートプラグ,"￥15,960",0,1,-,-
Amazonデバイス・アクセサリ,#88,Echo (エコー) 第4世代 - スマートスピーカーwith Alexa - プレミアムサウンド&スマートホームハ…,"￥11,980",0,1,-,-
Amazonデバイス・アクセサリ,#89,【Echo Show 8 用】 延長保証・事故保証プラン (2年・落下・水濡れ等の保証付き),"￥2,490",0,1,-,-
Amazonデバイス・アクセサリ,#90,Kindle Paperwhite 防水機能搭載 wifi 8GB セージ 広告つき 電子書籍リーダー,"￥13,980",0,1,-,-
Amazonデバイス・アクセサリ,#91,【Echo Show 5 用】 延長保証・事故保証プラン (2年・落下・水濡れ等の保証付き),"￥1,780",0,1,-,-
Amazonデバイス・アクセサリ,#92,Kindle Paperwhite 防水機能搭載 wifi+4G 32GB ブラック 電子書籍リーダー + Kindle…,"￥22,980",0,1,-,-
Amazonデバイス・アクセサリ,#93,Kindle フロントライト搭載 Wi-Fi 8GB ブラック 電子書籍リーダー,"￥10,980",0,1,-,-
Amazonデバイス・アクセサリ,#94,Kindle Paperwhite 防水機能搭載 wifi 32GB プラム 広告つき 電子書籍リーダー,"￥15,980",0,1,-,-
Amazonデバイス・アクセサリ,#95,【Fire HD 10 (第7世代、第9世代)保護フィルム】 Digio2 液晶保護フィルム 高精細 反射防止 気泡レス加工 2枚入り,-,0,0,-,-
Amazonデバイス・アクセサリ,#96,Fire HD 10 タブレット ブラック 64GB 【純正キッズカバー (ピンク) 付き】,"￥22,960",0,1,-,-
Amazonデバイス・アクセサリ,#97,Kindle Paperwhite 防水機能搭載 wifi 8GB ブラック 広告つき 電子書籍リーダー + Kindle…,"￥13,980",0,1,-,-
Amazonデバイス・アクセサリ,#98,(10年保証) サンディスク microSDカード 64GB SDカードアダプタ付き 【Made for Amazon認…,"￥3,098",0,1,,-
Amazonデバイス・アクセサリ,#99,Echo Show 5 (エコーショー5) スクリーン付きスマートスピーカー with Alexa、チャコール + ス…,"￥11,460",0,1,-,-
Amazonデバイス・アクセサリ,#100,【2020年発売 Echo Dot 第4世代用】 延長保証・事故保証プラン (2年・落下・水濡れ等の保証付き),￥980,0,1,-,-
